;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
4345;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;135,7399;2,3;27,4;Pampeana
4346;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;137,6649;2,8;24;Noreste
4347;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;137,5469;1,7;21;Noroeste
4348;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;136,6023;2,9;25,7;Cuyo
4349;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;131,8483;1;21,5;Patagonia
4350;01.2.1;Café, té, yerba y cacao;Clase;201804;130,9582;1,8;21,9;Pampeana
4351;01.2.1;Café, té, yerba y cacao;Clase;201804;129,2599;1,2;21,1;Noreste
4352;01.2.1;Café, té, yerba y cacao;Clase;201804;128,0001;1,6;21,4;Noroeste
4353;01.2.1;Café, té, yerba y cacao;Clase;201804;132,4264;2,5;24,7;Cuyo
4354;01.2.1;Café, té, yerba y cacao;Clase;201804;128,4246;1,7;18,2;Patagonia
4355;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;131,6011;3,1;21,8;Pampeana
4356;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;140,3916;2,3;31,1;Noreste
4357;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;136,0649;2,4;26,1;Noroeste
4358;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;136,2419;4,2;23,3;Cuyo
4359;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;136,9482;3,1;26,2;Patagonia
4386;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;133,5964;2,2;23,3;GBA
4406;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;133,6209;2,4;23;GBA
4414;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201804;130,1382;1;23,1;GBA
4415;01.2.1;Café, té, yerba y cacao;Clase;201804;134,0851;2,2;24,6;GBA
4416;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201804;133,3861;1,2;25,5;GBA
4475;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;138,4391;3,2;26,3;Pampeana
4476;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201805;132,6337;2,8;16,2;Noreste
